mask,lead,n_pixels,n,mean,sd,t_lo,t_hi,b_lo,b_hi,p
rainfed,8,2164,15,-0.0006942907969156901,0.006511616962256815,-0.004300304076352737,0.0029117224825213573,-0.0038535162806510926,0.0024703771869341445,0.6858976479276687
rainfed,16,2164,15,-0.0007756749788920084,0.008081959059256889,-0.005251314725589609,0.003699964767805592,-0.004447975556055705,0.00348898967107137,0.7156714016220094
rainfed,24,2164,15,-0.0005870242913564083,0.010892457196530257,-0.006619066029077807,0.005445017446364991,-0.005417785247166955,0.005230102588733021,0.8376687505816546
rainfed,32,2164,15,0.002146869897842411,0.014793884306313974,-0.0060457101590371005,0.010339449954721922,-0.004509407083193468,0.00997405548890433,0.5829743053879312
rainfed,40,2164,15,0.004038256406784043,0.017942900765338027,-0.005898190839186237,0.013974703652754323,-0.004073378841082273,0.01347851976752278,0.3980962336845727
irrigated,8,554,15,0.0012218117713928222,0.006880965779384451,-0.0025887400653682446,0.005032363608153889,-0.0019276225566864013,0.004790787696838373,0.5028753972540139
irrigated,16,554,15,0.002650241057078062,0.0111024411312753,-0.003498085907730257,0.008798568021886381,-0.002536862194538098,0.008338351895411846,0.37088130797344043
irrigated,24,554,15,0.003334689140319802,0.016805513540600368,-0.005971894054979326,0.01264127233561893,-0.004176306674877835,0.01212651545802752,0.454953794273104
irrigated,32,554,15,0.0038668394088745006,0.017936166056589174,-0.00606587827970285,0.013799557097451851,-0.004352871725956621,0.013232796192169187,0.4177546820038299
irrigated,40,554,15,0.0051939298709233715,0.0258627710695078,-0.009128395361082071,0.019516255102928814,-0.006272024735808357,0.019086907133460024,0.4496334674473066
irr_015_025,8,193,15,0.0008473436037699382,0.006724364507314326,-0.002876485339133151,0.004571172546673027,-0.0023575554291407268,0.0042480052510897315,0.6330773975433066
irr_015_025,16,193,15,0.001987167199452718,0.009567150564195135,-0.0033109441883682937,0.00728527858727373,-0.002421184281508128,0.006942908664544419,0.4345875106500142
irr_015_025,24,193,15,0.0012629528840382746,0.014049671184884607,-0.006517495683203448,0.009043401451279997,-0.005042320489883441,0.008653238266706451,0.7329068773337777
irr_015_025,32,193,15,0.0017130891482035281,0.016437851337252715,-0.007389889505350685,0.010816067801757742,-0.005673082023859028,0.010469229519367202,0.6925842924083696
