arm,seed,lead,mask,n_pixels,acc
corrected,42,8,all_wlc,3078,0.6529925465583801
corrected,42,16,all_wlc,3078,0.558199942111969
corrected,42,24,all_wlc,3078,0.4839409589767456
corrected,42,32,all_wlc,3078,0.42261892557144165
corrected,42,40,all_wlc,3078,0.3613264262676239
corrected,42,8,irrigated,554,0.6271371245384216
corrected,42,16,irrigated,554,0.486980140209198
corrected,42,24,irrigated,554,0.37711217999458313
corrected,42,32,irrigated,554,0.30811601877212524
corrected,42,40,irrigated,554,0.2430647611618042
corrected,42,8,rainfed,2164,0.6549760699272156
corrected,42,16,rainfed,2164,0.5707156658172607
corrected,42,24,rainfed,2164,0.5049771666526794
corrected,42,32,rainfed,2164,0.4460066854953766
corrected,42,40,rainfed,2164,0.38640648126602173
corrected,42,8,irr_015_025,193,0.6682892441749573
corrected,42,16,irr_015_025,193,0.549399197101593
corrected,42,24,irr_015_025,193,0.443564772605896
corrected,42,32,irr_015_025,193,0.37038806080818176
corrected,42,40,irr_015_025,193,0.3009209930896759
corrected,42,8,irr_025_050,247,0.6305059790611267
corrected,42,16,irr_025_050,247,0.4921814203262329
corrected,42,24,irr_025_050,247,0.37809234857559204
corrected,42,32,irr_025_050,247,0.31186869740486145
corrected,42,40,irr_025_050,247,0.24487531185150146
corrected,42,8,irr_050_plus,114,0.5220150351524353
corrected,42,16,irr_050_plus,114,0.3205636441707611
corrected,42,24,irr_050_plus,114,0.2120644897222519
corrected,42,32,irr_050_plus,114,0.1478644460439682
corrected,42,40,irr_050_plus,114,0.09740400314331055
corrected,42,8,reg_Southern_Great_Plains,268,0.6709718704223633
corrected,42,16,reg_Southern_Great_Plains,268,0.5629728436470032
corrected,42,24,reg_Southern_Great_Plains,268,0.46335625648498535
corrected,42,32,reg_Southern_Great_Plains,268,0.3939368426799774
corrected,42,40,reg_Southern_Great_Plains,268,0.31761306524276733
corrected,42,8,reg_Northern_Great_Plains,243,0.5522449016571045
corrected,42,16,reg_Northern_Great_Plains,243,0.34985512495040894
corrected,42,24,reg_Northern_Great_Plains,243,0.21507005393505096
corrected,42,32,reg_Northern_Great_Plains,243,0.14873385429382324
corrected,42,40,reg_Northern_Great_Plains,243,0.09565804898738861
corrected,123,8,all_wlc,3078,0.6651686429977417
corrected,123,16,all_wlc,3078,0.5641690492630005
corrected,123,24,all_wlc,3078,0.4899832308292389
corrected,123,32,all_wlc,3078,0.4289252460002899
corrected,123,40,all_wlc,3078,0.3706783354282379
corrected,123,8,irrigated,554,0.6325852870941162
corrected,123,16,irrigated,554,0.4907057583332062
corrected,123,24,irrigated,554,0.38413071632385254
corrected,123,32,irrigated,554,0.31317973136901855
corrected,123,40,irrigated,554,0.2576788067817688
corrected,123,8,rainfed,2164,0.6693336963653564
corrected,123,16,rainfed,2164,0.5774438977241516
corrected,123,24,rainfed,2164,0.5107412338256836
corrected,123,32,rainfed,2164,0.45206061005592346
corrected,123,40,rainfed,2164,0.39433401823043823
corrected,123,8,irr_015_025,193,0.6762496829032898
corrected,123,16,irr_015_025,193,0.554776132106781
corrected,123,24,irr_015_025,193,0.4525318145751953
corrected,123,32,irr_015_025,193,0.3798827826976776
corrected,123,40,irr_015_025,193,0.3146141767501831
corrected,123,8,irr_025_050,247,0.6343075037002563
corrected,123,16,irr_025_050,247,0.4949234127998352
corrected,123,24,irr_025_050,247,0.38432013988494873
corrected,123,32,irr_025_050,247,0.3157534599304199
corrected,123,40,irr_025_050,247,0.25839102268218994
corrected,123,8,irr_050_plus,114,0.5243569016456604
corrected,123,16,irr_050_plus,114,0.31508058309555054
corrected,123,24,irr_050_plus,114,0.2045568823814392
corrected,123,32,irr_050_plus,114,0.12742765247821808
corrected,123,40,irr_050_plus,114,0.10122960060834885
corrected,123,8,reg_Southern_Great_Plains,268,0.6738203167915344
corrected,123,16,reg_Southern_Great_Plains,268,0.5690370202064514
corrected,123,24,reg_Southern_Great_Plains,268,0.47174936532974243
corrected,123,32,reg_Southern_Great_Plains,268,0.4025014042854309
corrected,123,40,reg_Southern_Great_Plains,268,0.3278414011001587
corrected,123,8,reg_Northern_Great_Plains,243,0.5593547821044922
corrected,123,16,reg_Northern_Great_Plains,243,0.3424222767353058
corrected,123,24,reg_Northern_Great_Plains,243,0.20560982823371887
corrected,123,32,reg_Northern_Great_Plains,243,0.13369116187095642
corrected,123,40,reg_Northern_Great_Plains,243,0.10054574906826019
corrected,777,8,all_wlc,3078,0.6543338298797607
corrected,777,16,all_wlc,3078,0.5603664517402649
corrected,777,24,all_wlc,3078,0.4915201663970947
corrected,777,32,all_wlc,3078,0.433648943901062
corrected,777,40,all_wlc,3078,0.36919844150543213
corrected,777,8,irrigated,554,0.6211847066879272
corrected,777,16,irrigated,554,0.486595094203949
corrected,777,24,irrigated,554,0.38669249415397644
corrected,777,32,irrigated,554,0.31510934233665466
corrected,777,40,irrigated,554,0.251592218875885
corrected,777,8,rainfed,2164,0.6578899621963501
corrected,777,16,rainfed,2164,0.573189377784729
corrected,777,24,rainfed,2164,0.5111995935440063
corrected,777,32,rainfed,2164,0.45698249340057373
corrected,777,40,rainfed,2164,0.39286690950393677
corrected,777,8,irr_015_025,193,0.6679474115371704
corrected,777,16,irr_015_025,193,0.5507751703262329
corrected,777,24,irr_015_025,193,0.4535072445869446
corrected,777,32,irr_015_025,193,0.3752132058143616
corrected,777,40,irr_015_025,193,0.3022180497646332
corrected,777,8,irr_025_050,247,0.6230943202972412
corrected,777,16,irr_025_050,247,0.49244511127471924
corrected,777,24,irr_025_050,247,0.3921028971672058
corrected,777,32,irr_025_050,247,0.3239187002182007
corrected,777,40,irr_025_050,247,0.2575990557670593
corrected,777,8,irr_050_plus,114,0.5039253234863281
corrected,777,16,irr_050_plus,114,0.3061409294605255
corrected,777,24,irr_050_plus,114,0.1982978731393814
corrected,777,32,irr_050_plus,114,0.1336115598678589
corrected,777,40,irr_050_plus,114,0.0991377979516983
corrected,777,8,reg_Southern_Great_Plains,268,0.6710112690925598
corrected,777,16,reg_Southern_Great_Plains,268,0.561401903629303
corrected,777,24,reg_Southern_Great_Plains,268,0.47293978929519653
corrected,777,32,reg_Southern_Great_Plains,268,0.3981563448905945
corrected,777,40,reg_Southern_Great_Plains,268,0.31824392080307007
corrected,777,8,reg_Northern_Great_Plains,243,0.5292237401008606
corrected,777,16,reg_Northern_Great_Plains,243,0.33743584156036377
corrected,777,24,reg_Northern_Great_Plains,243,0.20360636711120605
corrected,777,32,reg_Northern_Great_Plains,243,0.1275511234998703
corrected,777,40,reg_Northern_Great_Plains,243,0.08922277390956879
corrected,2024,8,all_wlc,3078,0.6599011421203613
