arm,seed,lead,mask,n_pixels,acc
uncorrected,42,8,all_wlc,3078,0.6591459512710571
uncorrected,42,16,all_wlc,3078,0.5591121315956116
uncorrected,42,24,all_wlc,3078,0.4816698431968689
uncorrected,42,32,all_wlc,3078,0.4186801314353943
uncorrected,42,40,all_wlc,3078,0.3565630316734314
uncorrected,42,8,irrigated,554,0.6285131573677063
uncorrected,42,16,irrigated,554,0.48957616090774536
uncorrected,42,24,irrigated,554,0.3792179822921753
uncorrected,42,32,irrigated,554,0.30834537744522095
uncorrected,42,40,irrigated,554,0.24306140840053558
uncorrected,42,8,rainfed,2164,0.662656307220459
uncorrected,42,16,rainfed,2164,0.5715025663375854
uncorrected,42,24,rainfed,2164,0.5019221901893616
uncorrected,42,32,rainfed,2164,0.4411562383174896
uncorrected,42,40,rainfed,2164,0.38093459606170654
uncorrected,42,8,irr_015_025,193,0.6688289046287537
uncorrected,42,16,irr_015_025,193,0.5511608719825745
uncorrected,42,24,irr_015_025,193,0.4466312825679779
uncorrected,42,32,irr_015_025,193,0.37357908487319946
uncorrected,42,40,irr_015_025,193,0.30146145820617676
uncorrected,42,8,irr_025_050,247,0.6336439847946167
uncorrected,42,16,irr_025_050,247,0.4980003535747528
uncorrected,42,24,irr_025_050,247,0.38246142864227295
uncorrected,42,32,irr_025_050,247,0.315318763256073
uncorrected,42,40,irr_025_050,247,0.2476806789636612
uncorrected,42,8,irr_050_plus,114,0.5199394226074219
uncorrected,42,16,irr_050_plus,114,0.3170028030872345
uncorrected,42,24,irr_050_plus,114,0.20760004222393036
uncorrected,42,32,irr_050_plus,114,0.1357027143239975
uncorrected,42,40,irr_050_plus,114,0.09104499220848083
uncorrected,42,8,reg_Southern_Great_Plains,268,0.6746380925178528
uncorrected,42,16,reg_Southern_Great_Plains,268,0.5668480396270752
uncorrected,42,24,reg_Southern_Great_Plains,268,0.4681929349899292
uncorrected,42,32,reg_Southern_Great_Plains,268,0.39882856607437134
uncorrected,42,40,reg_Southern_Great_Plains,268,0.32044506072998047
uncorrected,42,8,reg_Northern_Great_Plains,243,0.5480840802192688
uncorrected,42,16,reg_Northern_Great_Plains,243,0.3488798141479492
uncorrected,42,24,reg_Northern_Great_Plains,243,0.21232092380523682
uncorrected,42,32,reg_Northern_Great_Plains,243,0.13905903697013855
uncorrected,42,40,reg_Northern_Great_Plains,243,0.08752016723155975
uncorrected,123,8,all_wlc,3078,0.6644430756568909
uncorrected,123,16,all_wlc,3078,0.5685198307037354
uncorrected,123,24,all_wlc,3078,0.49501270055770874
uncorrected,123,32,all_wlc,3078,0.4317781627178192
uncorrected,123,40,all_wlc,3078,0.3644029200077057
uncorrected,123,8,irrigated,554,0.6328573226928711
uncorrected,123,16,irrigated,554,0.4986397922039032
uncorrected,123,24,irrigated,554,0.3937556743621826
uncorrected,123,32,irrigated,554,0.3167010545730591
uncorrected,123,40,irrigated,554,0.25075188279151917
uncorrected,123,8,rainfed,2164,0.6684257388114929
uncorrected,123,16,rainfed,2164,0.5806803107261658
uncorrected,123,24,rainfed,2164,0.5141593813896179
uncorrected,123,32,rainfed,2164,0.4543147683143616
uncorrected,123,40,rainfed,2164,0.3878794312477112
uncorrected,123,8,irr_015_025,193,0.6739064455032349
uncorrected,123,16,irr_015_025,193,0.5593865513801575
uncorrected,123,24,irr_015_025,193,0.4579077959060669
uncorrected,123,32,irr_015_025,193,0.3801824450492859
uncorrected,123,40,irr_015_025,193,0.30679890513420105
uncorrected,123,8,irr_025_050,247,0.6346285939216614
uncorrected,123,16,irr_025_050,247,0.5023666620254517
uncorrected,123,24,irr_025_050,247,0.3946057856082916
uncorrected,123,32,irr_025_050,247,0.32092946767807007
uncorrected,123,40,irr_025_050,247,0.2548072934150696
uncorrected,123,8,irr_050_plus,114,0.5297279357910156
uncorrected,123,16,irr_050_plus,114,0.32898420095443726
uncorrected,123,24,irr_050_plus,114,0.21738803386688232
uncorrected,123,32,irr_050_plus,114,0.12736627459526062
uncorrected,123,40,irr_050_plus,114,0.07824596762657166
uncorrected,123,8,reg_Southern_Great_Plains,268,0.6726436018943787
uncorrected,123,16,reg_Southern_Great_Plains,268,0.5703957676887512
uncorrected,123,24,reg_Southern_Great_Plains,268,0.4749810993671417
uncorrected,123,32,reg_Southern_Great_Plains,268,0.40048789978027344
uncorrected,123,40,reg_Southern_Great_Plains,268,0.3250372111797333
uncorrected,123,8,reg_Northern_Great_Plains,243,0.5625934600830078
uncorrected,123,16,reg_Northern_Great_Plains,243,0.35876762866973877
uncorrected,123,24,reg_Northern_Great_Plains,243,0.2229691445827484
uncorrected,123,32,reg_Northern_Great_Plains,243,0.13627555966377258
uncorrected,123,40,reg_Northern_Great_Plains,243,0.08105930685997009
uncorrected,777,8,all_wlc,3078,0.6520742774009705
uncorrected,777,16,all_wlc,3078,0.5577942728996277
uncorrected,777,24,all_wlc,3078,0.4874521493911743
